OBJECTID,RoadWidth,sidewalk_width,public_transport,has_utilities,people_flow,tree_density
1,0.13784506114043665,0.0,0.3333333333333333,0.0,0.0,0.0
4,0.10699902546226328,0.0,0.3333333333333333,0.0,0.0,0.0
5,0.11897420018281304,0.0,0.3333333333333333,0.0,0.0,0.0
7,0.10727003938095162,0.0,0.3333333333333333,0.0,0.0,0.0
9,0.1115880596525905,0.0,0.3333333333333333,0.0,0.0,0.0
11,0.11072546684422796,0.0,0.3333333333333333,0.0,0.0,0.0
13,0.15207025813367883,0.0,0.3333333333333333,0.0,0.0,0.0
15,0.10436270723084348,0.0,0.3333333333333333,0.0,0.0,0.0
17,0.13107375815708916,0.0,0.3333333333333333,0.0,0.0,0.0
19,0.10892848276396982,0.0,0.3333333333333333,0.0,0.0,0.0
21,0.11099142453309002,0.0,0.3333333333333333,0.0,0.0,0.0
23,0.1274383289119974,0.0,0.3333333333333333,0.0,0.0,0.0
25,0.10236954143332588,0.0,0.3333333333333333,0.0,0.0,0.0
27,0.11858689297812036,0.0,0.3333333333333333,0.0,0.0,0.0
29,0.13198792450967967,0.0,0.3333333333333333,0.0,0.0,0.0
31,0.12230119940850201,0.0,0.3333333333333333,0.0,0.0,0.0
33,0.11246379865850131,0.06776664702416028,0.3333333333333333,0.0,0.0,0.0
35,0.10784948331904273,0.06776664702416028,0.3333333333333333,0.0,0.0,0.0
37,0.0998606401935282,0.06776664702416028,0.3333333333333333,0.0,0.0,0.0
39,0.11231615674757409,0.06776664702416028,0.3333333333333333,0.0,0.0,0.0
42,0.08080977745408917,0.3164407851490867,0.3333333333333333,0.0,0.017131161755132383,0.0949593277826216
44,0.08250968192168284,0.36122569914201536,0.6666666666666666,0.0,0.01742949790694042,0.0
47,0.08348250054025814,0.07071302579139659,0.3333333333333333,0.0,0.020377973452253926,0.014467620315988158
48,0.08038707664061259,0.07307012430995875,0.6666666666666666,0.0,0.01628367456173209,0.18304893121652566
50,0.08255721048204982,0.2203889221885681,0.6666666666666666,0.0,0.018744768686703692,0.014697569248162803
51,0.05746607446754613,0.3164407851490867,0.3333333333333333,0.0,0.02020325291015752,0.2634639890391009
52,0.10762094173089509,0.0,0.3333333333333333,0.0,0.0,0.0
56,0.0882141204116863,0.0,0.6666666666666666,0.0,0.025183615848342236,0.0
59,0.35970635844159304,0.3061775718872029,0.6666666666666666,0.0,0.01896081356341796,0.11387262745398626
61,0.14202150697693983,0.21714791172598705,0.6666666666666666,0.0,0.016201112681218016,0.06140594609613781
62,0.061243887144545775,0.04242781547495581,0.6666666666666666,0.0,0.023081333045867968,0.4863898975769131
63,0.10360427275690223,0.0,0.3333333333333333,0.0,0.0,0.0
66,0.07779424198569874,0.24425455873423696,0.6666666666666666,0.0,0.031178273144512696,0.0
67,0.08654657581498082,0.18208602912021216,0.6666666666666666,0.0,0.030227109820404063,0.0
70,0.12107759179054345,0.17678255218591635,0.6666666666666666,0.0,0.02476122427195955,0.09058071686579605
71,0.11057681368733546,0.0,0.0,0.0,0.0002378925927805909,0.0
74,0.06048332905407748,0.1308190942021214,0.6666666666666666,0.0,0.022931968573294294,0.34381197842312516
75,0.11586360759368863,0.0,0.3333333333333333,0.0,0.0,0.0
77,0.12100781581894085,0.0,0.3333333333333333,0.0,0.0,0.0
79,0.11373594608279211,0.0,0.3333333333333333,0.0,0.001744255214540302,0.0
81,0.08646061990793416,0.0883912787271656,0.6666666666666666,0.0,0.01942990631504263,0.1589905241877533
82,0.059939480973963344,0.10174818119485367,0.6666666666666666,0.0,0.025542518252724716,0.14294200496306445
84,0.05825575644181377,0.15439009343311727,0.6666666666666666,0.0,0.025816599857151516,0.3525979438732981
88,0.06674536856932259,0.15763111316794345,0.6666666666666666,0.0,0.022920846043411304,0.12472813329373102
90,0.08775400349749529,0.0883912787271656,0.6666666666666666,0.0,0.018660768086416736,0.16927115769706141
91,0.09749938086465776,0.17481830166470244,0.6666666666666666,0.0,0.013682833324905119,0.08523440419273552
93,0.13742033783502958,0.0,0.3333333333333333,0.0,5.8102407341474604e-05,0.0
95,0.12801979534201907,0.17118443793694757,0.6666666666666666,0.0,0.0069439617684117026,0.06029452625729369
96,0.058872515356022795,0.10047141741367119,0.6666666666666666,0.0,0.017692309802033377,0.21851855400446485
99,0.05580439509743912,0.1555686567413082,0.6666666666666666,0.0,0.006876260166640909,0.29909649232066376
100,0.05836527437985088,0.1555686567413082,0.6666666666666666,0.0,0.008398644346105436,0.14131320002682737
102,0.1247777407774115,0.12669416477077197,0.3333333333333333,0.0,0.0005991532903284384,0.0
105,0.08127798433600224,0.1555686567413082,0.6666666666666666,0.0,0.007769569640188858,0.16964482471184522
107,0.06149093453385758,0.0,0.6666666666666666,0.0,0.018870619292239713,0.0
