OBJECTID,RoadWidth,sidewalk_width,public_transport,has_utilities,people_flow,tree_density,cluster_id
1,0.1378450611,0.0,0.33333333330000003,0,0.0,0.0,1
4,0.1069990255,0.0,0.33333333330000003,0,0.0,0.0,1
5,0.1189742002,0.0,0.33333333330000003,0,0.0,0.0,1
7,0.1072700394,0.0,0.33333333330000003,0,0.0,0.0,1
9,0.1115880597,0.0,0.33333333330000003,0,0.0,0.0,1
11,0.1107254668,0.0,0.33333333330000003,0,0.0,0.0,1
13,0.1520702581,0.0,0.33333333330000003,0,0.0,0.0,1
15,0.1043627072,0.0,0.33333333330000003,0,0.0,0.0,1
17,0.1310737582,0.0,0.33333333330000003,0,0.0,0.0,1
19,0.1089284828,0.0,0.33333333330000003,0,0.0,0.0,1
21,0.1109914245,0.0,0.33333333330000003,0,0.0,0.0,1
23,0.1274383289,0.0,0.33333333330000003,0,0.0,0.0,1
25,0.1023695414,0.0,0.33333333330000003,0,0.0,0.0,1
27,0.11858689300000001,0.0,0.33333333330000003,0,0.0,0.0,1
29,0.1319879245,0.0,0.33333333330000003,0,0.0,0.0,1
31,0.1223011994,0.0,0.33333333330000003,0,0.0,0.0,1
33,0.1124637987,0.067766647,0.33333333330000003,0,0.0,0.0,1
35,0.1078494833,0.067766647,0.33333333330000003,0,0.0,0.0,1
37,0.0998606402,0.067766647,0.33333333330000003,0,0.0,0.0,1
39,0.1123161567,0.067766647,0.33333333330000003,0,0.0,0.0,1
42,0.0808097775,0.3164407851,0.33333333330000003,0,0.0171311618,0.0949593278,1
44,0.0825096819,0.3612256991,0.6666666667000001,0,0.0174294979,0.0,1
47,0.0834825005,0.07071302580000001,0.33333333330000003,0,0.0203779735,0.014467620300000001,1
48,0.08038707660000001,0.0730701243,0.6666666667000001,0,0.0162836746,0.18304893120000001,1
50,0.0825572105,0.2203889222,0.6666666667000001,0,0.0187447687,0.0146975692,1
51,0.0574660745,0.3164407851,0.33333333330000003,0,0.0202032529,0.263463989,1
52,0.1076209417,0.0,0.33333333330000003,0,0.0,0.0,1
56,0.0882141204,0.0,0.6666666667000001,0,0.0251836158,0.0,1
59,0.35970635840000004,0.3061775719,0.6666666667000001,0,0.0189608136,0.1138726275,1
61,0.14202150700000002,0.2171479117,0.6666666667000001,0,0.0162011127,0.061405946100000004,1
62,0.061243887100000005,0.0424278155,0.6666666667000001,0,0.023081333000000002,0.4863898976,1
63,0.10360427280000001,0.0,0.33333333330000003,0,0.0,0.0,1
66,0.077794242,0.2442545587,0.6666666667000001,0,0.0311782731,0.0,1
67,0.0865465758,0.18208602910000002,0.6666666667000001,0,0.030227109800000002,0.0,1
70,0.12107759180000001,0.1767825522,0.6666666667000001,0,0.024761224300000002,0.0905807169,1
71,0.1105768137,0.0,0.0,0,0.0002378926,0.0,1
74,0.060483329100000004,0.1308190942,0.6666666667000001,0,0.0229319686,0.3438119784,1
75,0.1158636076,0.0,0.33333333330000003,0,0.0,0.0,1
77,0.1210078158,0.0,0.33333333330000003,0,0.0,0.0,1
79,0.1137359461,0.0,0.33333333330000003,0,0.0017442552,0.0,1
81,0.08646061990000001,0.0883912787,0.6666666667000001,0,0.0194299063,0.1589905242,1
82,0.059939481,0.10174818120000001,0.6666666667000001,0,0.0255425183,0.142942005,1
84,0.058255756400000004,0.1543900934,0.6666666667000001,0,0.0258165999,0.3525979439,1
88,0.06674536860000001,0.1576311132,0.6666666667000001,0,0.022920846,0.1247281333,1
90,0.0877540035,0.0883912787,0.6666666667000001,0,0.0186607681,0.1692711577,1
91,0.0974993809,0.1748183017,0.6666666667000001,0,0.0136828333,0.0852344042,1
93,0.13742033780000001,0.0,0.33333333330000003,0,5.81024e-05,0.0,1
95,0.12801979530000002,0.1711844379,0.6666666667000001,0,0.0069439618000000005,0.060294526300000005,1
96,0.058872515400000006,0.1004714174,0.6666666667000001,0,0.0176923098,0.218518554,1
99,0.0558043951,0.1555686567,0.6666666667000001,0,0.0068762602,0.2990964923,1
100,0.0583652744,0.1555686567,0.6666666667000001,0,0.0083986443,0.1413132,1
102,0.12477774080000001,0.1266941648,0.33333333330000003,0,0.0005991533,0.0,1
105,0.08127798430000001,0.1555686567,0.6666666667000001,0,0.007769569600000001,0.1696448247,1
107,0.061490934500000004,0.0,0.6666666667000001,0,0.018870619300000002,0.0,1
110,0.0601500224,0.0,0.6666666667000001,0,0.0183907647,0.2054402085,1
111,0.0824267598,0.08632881640000001,0.6666666667000001,0,0.012086912,0.0,1
113,0.0689387611,0.0,0.6666666667000001,0,0.0181692084,0.0910597771,1
115,0.11568562830000001,0.0657041844,0.33333333330000003,0,0.004767175,0.0,1
117,0.0819332717,0.0795521523,0.6666666667000001,0,0.0143212654,0.0,1
118,0.1134669547,0.0930072668,0.6666666667000001,0,0.0266630612,0.0,1
121,0.0583635553,0.1035160071,0.6666666667000001,0,0.0362581141,0.0,1
122,0.1124860461,0.0855431145,0.6666666667000001,0,0.06803639360000001,0.0,1
123,0.0810727014,0.0948733049,0.33333333330000003,0,0.016172319100000002,0.0,1
126,0.0642041075,0.1208014126,0.6666666667000001,0,0.055622507,0.0,1
129,0.0806328094,0.11785503650000001,0.6666666667000001,0,0.0684201821,0.0,1
131,0.07846874300000001,0.07012374760000001,0.6666666667000001,0,0.0769524193,0.0,1
132,0.15438196640000001,0.1337654674,0.6666666667000001,0,0.0446697551,0.013289132,1
134,0.1111704151,0.0824985266,0.6666666667000001,0,0.013030071300000001,0.0,1
135,0.060922412100000004,0.11785503650000001,0.6666666667000001,0,0.0713502074,0.0,1
138,0.08079562,0.167943431,0.6666666667000001,0,0.0166919108,0.0,1
139,0.081613718,0.0677666465,0.33333333330000003,0,0.0172634246,0.0,1
140,0.0887773844,0.1444706383,0.6666666667000001,0,0.0327771278,0.0,1
144,0.0801676363,0.167943431,0.6666666667000001,0,0.015238751000000002,0.0713129126,1
145,0.1113746868,0.0860341767,0.6666666667000001,0,0.0916516909,0.0,1
146,0.0813922551,0.1496758964,0.6666666667000001,0,0.0573504559,0.0,1
147,0.0700541654,0.0441956394,0.6666666667000001,0,0.0909752442,0.0,1
150,0.0791007718,0.0692398348,0.6666666667000001,0,0.0374881539,0.0,1
152,0.1053790094,0.0860341767,0.6666666667000001,0,0.10252456310000001,0.0,1
154,0.07523376720000001,0.1018463945,0.6666666667000001,1,0.111830176,0.0466029836,3
156,0.11234042670000001,0.1133765468,0.6666666667000001,0,0.0231173925,0.0,1
157,0.0808957334,0.0677666485,0.6666666667000001,0,0.0483268244,0.0,1
158,0.0834380057,0.1803182087,0.6666666667000001,1,0.0220091944,0.0,3
159,0.0731081282,0.0677666491,0.6666666667000001,1,0.0708865466,0.0,3
162,0.08137607520000001,0.1280691423,0.6666666667000001,0,0.0585560984,0.0137777735,1
164,0.1183886888,0.0860341767,0.6666666667000001,0,0.099018987,0.0,1
166,0.0818867544,0.1163818494,0.6666666667000001,1,0.0611552301,0.0,3
169,0.1139928026,0.0813199761,0.6666666667000001,0,0.022691558,0.0,1
170,0.0639007337,0.046552739600000004,0.6666666667000001,0,0.0892387005,0.0,1
172,0.11276515000000001,0.1066588084,0.6666666667000001,0,0.018803683800000002,0.0,1
173,0.10974354700000001,0.07586918250000001,0.6666666667000001,0,0.032241801800000004,0.0,1
176,0.0846868945,0.11333726100000001,0.6666666667000001,1,0.0693071334,0.0,3
178,0.0859570194,0.1443724224,0.6666666667000001,1,0.0833474304,0.0,3
179,0.1081457784,0.10489098300000001,0.6666666667000001,1,0.09260038970000001,0.0733058033,3
182,0.08587814220000001,0.11476134160000001,0.6666666667000001,0,0.0701652811,0.0,1
183,0.1098345591,0.1122569244,0.6666666667000001,0,0.0087632801,0.0,1
184,0.0623221787,0.0,0.6666666667000001,0,0.0746351348,0.0,1
188,0.08515105640000001,0.0795521497,0.6666666667000001,1,0.1266388377,0.0347414512,3
189,0.10794757420000001,0.070713023,0.6666666667000001,0,0.0157859502,0.0,1
190,0.1082934203,0.1043017085,0.6666666667000001,0,0.0146062116,0.0,1
192,0.0741315091,0.1614614016,0.6666666667000001,0,0.056979914000000007,0.3486600684,1
195,0.1137794297,0.070713023,0.6666666667000001,0,0.0068898862000000005,0.0,1
196,0.08893210500000001,0.0872127268,0.6666666667000001,0,0.06347041490000001,0.0,1
198,0.0844361055,0.0844627763,0.6666666667000001,1,0.1204151076,0.20714566310000002,3
200,0.07966100200000001,0.0908465899,0.6666666667000001,0,0.0521930745,0.0,1
202,0.0825218169,0.14348851040000002,0.6666666667000001,1,0.1451887408,0.0,3
203,0.0821041723,0.13199764220000001,0.6666666667000001,0,0.049575119800000005,0.0,1
205,0.0813265241,0.08706540950000001,0.6666666667000001,1,0.08879537700000001,0.043172912,3
206,0.1127206551,0.1153015136,0.6666666667000001,1,0.1794252227,0.0032384475,3
208,0.111194685,0.1094578672,0.6666666667000001,0,0.0013489160000000001,0.0,1
210,0.0803961779,0.1152033011,0.6666666667000001,1,0.039093597,0.0,3
212,0.08263406520000001,0.12492634180000001,0.6666666667000001,1,0.20109995120000002,0.1174559983,3
213,0.11194300700000001,0.12021214120000001,0.6666666667000001,1,0.17377735830000002,0.23098370240000002,3
215,0.1686718831,0.1263013162,0.6666666667000001,1,0.1368705156,0.1580611473,3
217,0.1103007435,0.1129444116,0.6666666667000001,0,4.9900000000000003e-08,0.0,1
218,0.0823873212,0.2315851472,0.6666666667000001,1,0.1815485275,0.0851098485,3
220,0.08363620990000001,0.1682380659,1.0,1,0.0299120348,0.0,2
221,0.0596949617,0.1327342357,1.0,0,0.07351792530000001,0.0,1
222,0.0810787689,0.1682380659,1.0,1,0.0351811374,0.0,2
227,0.23717267360000002,0.1385778803,0.6666666667000001,1,0.128412723,0.1245556716,3
229,0.0798228014,0.1682380659,1.0,0,0.06689003410000001,0.0,1
230,0.0606030606,0.1094087581,1.0,0,0.0757364026,0.0,1
231,0.0831123845,0.2133176178,0.6666666667000001,1,0.1370561334,0.0,3
234,0.23681873750000001,0.1561579243,0.6666666667000001,1,0.103143497,0.1949392073,3
235,0.0820546212,0.1596935744,1.0,1,0.0479255591,0.0,2
238,0.081938328,0.1049891948,1.0,0,0.1024886359,0.0,1
239,0.11140906910000001,0.0978196798,0.33333333330000003,0,0.0,0.0,1
241,0.0851712813,0.1981437822,0.6666666667000001,1,0.1073005836,0.0,3
244,0.2477644638,0.15910429980000002,0.6666666667000001,1,0.0943478457,0.1225148748,3
246,0.08244900720000001,0.1189353772,1.0,1,0.0925553275,0.0,2
247,0.0829030566,0.1751620508,0.6666666667000001,1,0.09022988800000001,0.0,3
249,0.0767465912,0.1358279325,0.6666666667000001,1,0.0997491162,0.0836343429,3
252,0.0824267598,0.10469455870000001,1.0,0,0.13757952880000002,0.0,1
254,0.0803668517,0.12192103750000001,1.0,1,0.1354482058,0.057218959300000004,2
255,0.11167806050000001,0.1025338816,0.6666666667000001,0,0.0,0.0,1
258,0.2310151969,0.1337654691,0.6666666667000001,1,0.1023717282,0.1014074791,3
260,0.0809361832,0.1157336474,0.6666666667000001,1,0.093442329,0.011257916500000001,3
261,0.0823276576,0.19760361440000002,0.6666666667000001,1,0.0802950167,0.0137011239,3
263,0.07957706860000001,0.099980357,1.0,0,0.15973722840000001,0.0,1
265,0.08337025220000001,0.103948144,1.0,1,0.1921975377,0.011190848000000002,2
266,0.08040730160000001,0.1162443526,1.0,1,0.1777869518,0.08979505800000001,2
267,0.0834278933,0.09958750720000001,1.0,0,0.1599414036,0.0,1
270,0.26305753660000003,0.135336869,1.0,1,0.2014805107,0.026424964800000002,2
272,0.1126286318,0.1094873306,1.0,0,0.158481491,0.023071542900000002,1
273,0.1149757336,0.09840895620000001,0.6666666667000001,0,0.0,0.0,1
275,0.0819322605,0.09133765540000001,1.0,1,0.241848839,0.0,2
276,0.2300666482,0.15085444920000002,0.6666666667000001,1,0.1246544458,0.11430378170000001,3
278,0.08032741310000001,0.1479080736,0.6666666667000001,1,0.0628622498,0.0,3
279,0.113813812,0.12080141450000001,1.0,0,0.1602128762,0.0,1
283,0.0839355387,0.1653899017,0.6666666667000001,0,0.0365286951,0.0,1
286,0.12400413760000001,0.0901591026,0.6666666667000001,0,0.0,0.0,1
287,0.0816470891,0.1788450187,0.33333333330000003,0,0.0115436309,0.06272815250000001,1
